"","Indicator","VAR","obs","years","database"
"260","Student Enrolment at Elementary Level (ISCED 0-2)","STU_ENR_ISCED02",356,"2012, 2014, 2010, 2013, 2011, 2009","Innovation"
"261","Student Enrolment at Elementary Level Rate (in % of population)","STU_ENR_ISCED02_RA",344,"2012, 2014, 2010, 2013, 2011, 2009","Innovation"
"262","Student Enrolment at Secondary Level (ISCED 3-4)","STU_ENR_ISCED34",348,"2012, 2010, 2013, 2009, 2008, 2006, 2014, 2011","Innovation"
"263","Student Enrolment at Secondary Level Rate (in % of population)","STU_ENR_ISCED34_RA",336,"2012, 2010, 2013, 2009, 2008, 2006, 2011, 2014","Innovation"
"264","Student Enrolment at Tertiary Level (ISCED 5-6)","STU_ENR_ISCED56",361,"2012, 2011, 2013, 2014, 2009","Innovation"
"265","Student Enrolment at Tertiary Level Rate (in % of population)","STU_ENR_ISCED56_RA",336,"2012, 2011, 2013, 2014, 2009","Innovation"
"266","Total employment, all activities","TOTAL_EMP_T",61,"2012","Innovation"
"267","Employment (15 years old and over)_Females","EMP_Y15_MAX_F",386,"2014, 2013, 2012","Labour"
"268","Employment (15 years old and over)_Males","EMP_Y15_MAX_M",386,"2014, 2013, 2012","Labour"
"269","Employment (15 years old and over)_Total","EMP_Y15_MAX_T",386,"2014","Labour"
"270","Employment Rate (% employment 15+ over population 15+)_Total","EMH_RA_T",376,"2014","Labour"
"271","Employment Rate (% employment 15+ over working age population 15-64)_Females","EMP_RA_F",386,"2014, 2013, 2012","Labour"
"272","Employment Rate (% employment 15+ over working age population 15-64)_Males","EMP_RA_M",386,"2014, 2013, 2012","Labour"
"273","Employment Rate (% employment 15+ over working age population 15-64)_Total","EMP_RA_T",386,"2014","Labour"
"274","Employment Rate Growth Index (2001=100)_Females","EMP_RA_GR_2001_F",342,"2014, 2013, 2012","Labour"
"275","Employment Rate Growth Index (2001=100)_Males","EMP_RA_GR_2001_M",342,"2014, 2013, 2012","Labour"
"276","Employment Rate Growth Index (2001=100)_Total","EMP_RA_GR_2001_T",355,"2014","Labour"
"277","Employment Rate Growth Index (2007=100)_Females","EMP_RA_GR_2007_F",347,"2014, 2013, 2012","Labour"
"278","Employment Rate Growth Index (2007=100)_Males","EMP_RA_GR_2007_M",347,"2014, 2013, 2012","Labour"
"279","Employment Rate Growth Index (2007=100)_Total","EMP_RA_GR_2007_T",360,"2014","Labour"
"280","Labour Force (15 years old and over)_Females","LF_Y15_MAX_F",386,"2014, 2013, 2011","Labour"
"281","Labour Force (15 years old and over)_Males","LF_Y15_MAX_M",386,"2014, 2013, 2011","Labour"
"282","Labour Force (15 years old and over)_Total","LF_Y15_MAX_T",386,"2014","Labour"
"283","Long Term Unemployment (15 years old and over, unemployed 12 months or more)_Total","LT_UNEM_T",318,"2013, 2014, 2012","Labour"
"284","Long Term Unemployment Incidence (% LT unemployment over total unemployment)_Total","LT_UNEM_SH_T",318,"2013, 2014, 2012","Labour"
"285","Long Term Unemployment Incidence Growth Index (2001=100)_Total","LT_UNEM_SH_GR_2001_T",246,"2013, 2014, 2012","Labour"
"286","Long Term Unemployment Incidence Growth Index (2007=100)_Total","LT_UNEM_SH_GR_2007_T",294,"2013, 2014, 2012","Labour"
"287","Long Term Unemployment Rate (% LT unemployment over labour force)_Total","LT_UNEM_RA_T",318,"2013, 2014, 2012","Labour"
"288","Long Term Unemployment Rate Growth Index (2001=100)_Total","LT_UNEM_RA_GR_2001_T",246,"2013, 2014, 2012","Labour"
"289","Long Term Unemployment Rate Growth Index (2007=100)_Total","LT_UNEM_RA_GR_2007_T",294,"2013, 2014, 2012","Labour"
"290","Part-Time Employment  (15 years old and over, working under 30 hours per week)_Females","EMP_PT_F",360,"2014, 2013","Labour"
"291","Part-Time Employment  (15 years old and over, working under 30 hours per week)_Males","EMP_PT_M",360,"2014, 2013","Labour"
"292","Part-Time Employment  (15 years old and over, working under 30 hours per week)_Total","EMP_PT_T",362,"2014, 2013","Labour"
"293","Part-Time Employment Incidence (% part-time employees over total employment)_Females","EMP_PT_SH_F",360,"2014, 2013","Labour"
"294","Part-Time Employment Incidence (% part-time employees over total employment)_Males","EMP_PT_SH_M",360,"2014, 2013","Labour"
"295","Part-Time Employment Incidence (% part-time employees over total employment)_Total","EMP_PT_SH_T",362,"2014, 2013","Labour"
"296","Part-Time Employment Incidence Gender difference (female-male)_Total","EMP_PT_SH_SEXDIF_T",360,"2014, 2013","Labour"
"297","Participation Rate (% labour force 15+ over population 15+)_Females","PARTIC_RA_F",386,"2014, 2013, 2011","Labour"
"298","Participation Rate (% labour force 15+ over population 15+)_Males","PARTIC_RA_M",386,"2014, 2013, 2011","Labour"
"299","Participation Rate (% labour force 15+ over population 15+)_Total","PARTIC_RA_T",386,"2014","Labour"
"300","Participation Rate Gender difference (female-male)_Total","PARTIC_RA_SEXDIF_T",386,"2014, 2013, 2011","Labour"
"301","Participation Rate Growth Index (2001=100)_Females","PARTIC_RA_GR_2001_F",342,"2014, 2013, 2011","Labour"
"302","Participation Rate Growth Index (2001=100)_Males","PARTIC_RA_GR_2001_M",342,"2014, 2013, 2011","Labour"
"303","Participation Rate Growth Index (2001=100)_Total","PARTIC_RA_GR_2001_T",355,"2014","Labour"
"304","Participation Rate Growth Index (2007=100)_Females","PARTIC_RA_GR_2007_F",347,"2014, 2013, 2011","Labour"
"305","Participation Rate Growth Index (2007=100)_Males","PARTIC_RA_GR_2007_M",347,"2014, 2013, 2011","Labour"
"306","Participation Rate Growth Index (2007=100)_Total","PARTIC_RA_GR_2007_T",360,"2014","Labour"
"307","Unemployment (15 years old and over)_Females","UNEM_Y15_MAX_F",386,"2014, 2013, 2011","Labour"
"308","Unemployment (15 years old and over)_Males","UNEM_Y15_MAX_M",386,"2014, 2013, 2012, 2011","Labour"
"309","Unemployment (15 years old and over)_Total","UNEM_Y15_MAX_T",386,"2014","Labour"
"310","Unemployment Rate (% unemployment 15+ over labour force 15+)_Females","UNEM_RA_F",386,"2014, 2013, 2011","Labour"
"311","Unemployment Rate (% unemployment 15+ over labour force 15+)_Males","UNEM_RA_M",386,"2014, 2013, 2012, 2011","Labour"
"312","Unemployment Rate (% unemployment 15+ over labour force 15+)_Total","UNEM_RA_T",386,"2014","Labour"
"313","Unemployment Rate Gender difference (female-male)_Total","UNEM_RA_SEXDIF_T",386,"2014, 2013, 2012, 2011","Labour"
"314","Unemployment Rate Growth Index (2001=100)_Females","UNEM_RA_GR_2001_F",306,"2014, 2013, 2011","Labour"
"315","Unemployment Rate Growth Index (2001=100)_Males","UNEM_RA_GR_2001_M",305,"2014, 2013, 2012, 2011","Labour"
"316","Unemployment Rate Growth Index (2001=100)_Total","UNEM_RA_GR_2001_T",355,"2014","Labour"
"317","Unemployment Rate Growth Index (2007=100)_Females","UNEM_RA_GR_2007_F",339,"2014, 2013, 2011","Labour"
"318","Unemployment Rate Growth Index (2007=100)_Males","UNEM_RA_GR_2007_M",340,"2014, 2013, 2012, 2011","Labour"
"319","Unemployment Rate Growth Index (2007=100)_Total","UNEM_RA_GR_2007_T",386,"2014","Labour"
"320","Working Age Population (15 years old and over)_Females","POP_Y15_MAX_F",386,"2014","Labour"
"321","Working Age Population (15 years old and over)_Males","POP_Y15_MAX_M",386,"2014","Labour"
"322","Working Age Population (15 years old and over)_Total","POP_Y15_MAX_T",386,"2014","Labour"
"323","Youth Employment (15-24 years old)_Females","EMP_Y15_24_F",238,"2014, 2008, 2007, 2011, 2012, 2013, 2010","Labour"
"324","Youth Employment (15-24 years old)_Males","EMP_Y15_24_M",240,"2014, 2011, 2013, 2009, 2012, 2010","Labour"
"325","Youth Employment (15-24 years old)_Total","EMP_Y15_24_T",240,"2014","Labour"
"326","Youth Labour Force (15-24 years old)_Females","LF_Y15_24_F",239,"2014, 2013","Labour"
"327","Youth Labour Force (15-24 years old)_Males","LF_Y15_24_M",240,"2014, 2013","Labour"
"328","Youth Labour Force (15-24 years old)_Total","LF_Y15_24_T",379,"2014, 2009, 2013, 2011, 2012","Labour"
"329","Youth Unemployment (15-24 years old)_Females","UNEM_Y15_24_F",224,"2014, 2013, 2012, 2008, 2009, 2011, 2006","Labour"
"330","Youth Unemployment (15-24 years old)_Males","UNEM_Y15_24_M",226,"2014, 2013, 2009, 2012, 2010","Labour"
"331","Youth Unemployment (15-24 years old)_Total","UNEM_Y15_24_T",365,"2014, 2009, 2012, 2013, 2011","Labour"
"332","Youth Unemployment Rate (% unemployment 15-24 over labour force 15-24)_Females","UNEM_Y15_24_RA_F",224,"2014, 2013, 2012, 2008, 2009, 2011, 2006","Labour"
"333","Youth Unemployment Rate (% unemployment 15-24 over labour force 15-24)_Males","UNEM_Y15_24_RA_M",226,"2014, 2013, 2009, 2012, 2010","Labour"
"334","Youth Unemployment Rate (% unemployment 15-24 over labour force 15-24)_Total","UNEM_Y15_24_RA_T",365,"2014, 2009, 2012, 2013, 2011","Labour"
"335","Active Physicians (number)","DOC",369,"2013, 2012, 2011, 2010, 2014","Social"
"336","Active Physicians Rate (physicians for 1000 population)","DOC_RA",369,"2013, 2012, 2011, 2010, 2014","Social"
"337","Air Pollution in PM10 < 20 µg/m3 (number of inhabitants exposed to particles)","PM10_LESS20",177,"2010","Social"
"338","Air Pollution in PM10 > 20 µg/m3 (number of inhabitants exposed to particles)","PM10_20MORE",177,"2010","Social"
"339","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","AIR_POL",388,"2013, 2012","Social"
"340","Average number of rooms per inhabitant (rooms per capita)","ROOMS_PC",360,"2013, 2011, 2012, 2014, 2010","Social"
"341","CO2 Emissions (in kilo tonnes)","CO2_KTONNES",388,"2008","Social"
"342","CO2 Emissions Rate (in tonnes per capita)","CO2_CAPITA",388,"2008","Social"
"343","CO2 Emissions Share from the Energy Sector (in % of total emissions)","CO2_ENERGY_SH",44,"2008","Social"
"344","CO2 Emissions Share from the Transport Sector (in % of total emissions)","CO2_TRANSP_SH",44,"2008","Social"
"345","Hospital Bed Rate (hospital beds for 10 000 population)","HOSP_BED_RA",340,"2013, 2012, 2010, 2009, 2011","Social"
"346","Hospital Beds (number)","HOSP_BED",340,"2013, 2012, 2010, 2009, 2011","Social"
"347","Intentional Homicide Rate (homicides for 100 000 population)","HOMIC_RA",362,"2013, 2012, 2010, 2014, 2011","Social"
"348","Intentional Homicides (number)","HOMIC",362,"2014, 2013, 2012, 2010, 2011","Social"
"349","Mortality rate due to transport accident (deaths for  100 000 population)","MORT_TRANSP_RA",332,"2010, 2014, 2012, 2009, 2013","Social"
"350","Motor Vehicle Theft Rate (number)","VEH_THEFT",313,"2014, 2013, 2011, 2012, 2010","Social"
"351","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","VEH_THEFT_RA",313,"2013, 2011, 2012, 2014, 2010","Social"
"352","Municipal Waste (in kilo-tonnes)","WASTE",279,"2013, 2009, 2008, 2012, 2010, 2011","Social"
"353","Municipal Waste Rate (kilos per capita)","WASTE_RA",279,"2013, 2009, 2008, 2012, 2010, 2011","Social"
"354","NO2 Emissions (in 10^n molecules/cm2)","NO2_EMISSIONS",44,"2012","Social"
"355","Net Ecosystem Productivity measured by CO2 Sequestration or Release (in g/m2)","CO2_SEQUEST",44,"2011","Social"
"356","Private Vehicles (number)","VEH",361,"2014, 2009, 2012, 2011, 2010, 2013","Social"
"357","Private Vehicles Rate (number of vehicles for 100 population)","VEH_RA",361,"2013, 2014, 2009, 2012, 2011, 2010","Social"
"358","Rate of Early Females Leavers from Education and Training (in % of the female population aged 18 to 24)","LEAVERS_F_RA",228,"2014, 2011, 2006, 2013, 2012, 2009, 2010, 2008","Social"
"359","Rate of Early Leavers from Education and Training (in % of the total population aged 18 to 24)","LEAVERS_T_RA",242,"2014, 2012, 2010, 2013, 2011","Social"
"360","Rate of Early Leavers from Education and Training - Gender difference (female-male)","LEAVERS_RA_SEXDIF",227,"2014, 2010, 2006, 2013, 2012, 2009, 2011, 2008","Social"
"361","Rate of Early Males Leavers from Education and Training (in % of the male population aged 18 to 24)","LEAVERS_M_RA",233,"2014, 2010, 2012, 2013, 2011, 2009, 2007","Social"
"362","Rate of Young Females Not in Employment and not in any Education and Training (in % of the female population aged 18 to 24)","NEET_F_RA",242,"2014, 2013, 2009, 2012","Social"
"363","Rate of Young Males Not in Employment and not in any Education and Training (in % of the male population aged 18 to 24)","NEET_M_RA",241,"2014, 2013, 2009, 2012, 2010","Social"
"364","Rate of Young People Not in Employment and not in any Education and Training (in % of the total population aged 18 to 24)","NEET_T_RA",265,"2014, 2012, 2013","Social"
"365","Rate of Young People Not in Employment and not in any Education and Training - Gender difference (female-male)","NEET_RA_SEXDIF",240,"2014, 2013, 2009, 2012","Social"
"366","Share of Housing Cost (in % of household disposable income)","HOUSE_COST_SH",190,"2013, 2011, 2012, 2010","Social"
"367","Share of households with internet broadband access (in % of total households)","BB_ACC",375,"2014, 2013, 2012, 2011","Social"
"368","Vegetation Coverage Share (in % of regional land)","VEGET_COVER_R",43,"2008","Social"
"369","Voters Turnout to General Elections (in % of registered voters who voted)","VOTERS_RA",374,"2013, 2014, 2015, 2012, 2011","Social"
